ngram,count
형들 내일 한번,1
내일 한번 갈까요,1
이거 20만원 밑에서,1
20만원 밑에서 파는,1
밑에서 파는 사람은,1
대박 인수 걱정무,1
비교를 하려면 제대로,1
하려면 제대로 해라,1
삼전우만 빼고 폐기,1
빼고 폐기 처분했다,1
알테오젠의 공매도 잔고,1
공매도 잔고 대량,1
잔고 대량 보유자,1
뉴스 기사 떴네요,1
기사 떴네요 sbs,1
떴네요 sbs 댓글,1
sbs 댓글 따봉,1
댓글 따봉 한방부탁요,1
상장3년안에 lo한다에 내기하실분,1
셀리드 급등만 남았다,1
급등만 남았다 셀리드,1
남았다 셀리드 시총1조,1
셀리드 시총1조 2906억,1
시총1조 2906억 모더나,1
2906억 모더나 벤쳐기업에서,1
모더나 벤쳐기업에서 정부지원,1
벤쳐기업에서 정부지원 받고,1
정부지원 받고 시총98조,1
받고 시총98조 화이자,1
시총98조 화이자 시총,1
화이자 시총 251조,1
기관외국인 대량매도와 대량공매도,1
아주 하고 있네,1
오늘은 끝까지 팔아제끼네,1
기다리는 자에게 복이,1
어둑어둑 해진다 간판불,1
해진다 간판불 켜고,1
8년전에 안성 멜파스,1
안성 멜파스 다녔던,1
멜파스 다녔던 사람입니다,1
얘기했죠 이거 결국은,1
이거 결국은 2천원이하로,1
결국은 2천원이하로 간다고,1
1530 50까지는 하락안할것같고,1
중국 간첩 심각하게,1
간첩 심각하게 받아들여야,1
이제 가볍게 올라갈,1
가볍게 올라갈 준비가,1
올라갈 준비가 되었나,1
준비가 되었나 봅니다,1
스톡옵션이 너무 많아,1
조폭두목이 대통령인 나라,1
소송관련해서 소액주주분들 참석좀해주세요,1
kg그룹 인수 가능성,1
12시4분 최저점 포착,1
침착맨은 솔직히 안와도됨,1
8월 17일 음봉의,1
17일 음봉의 비밀,1
음봉의 비밀 밝혀지나,1
노광민씨가 추천하면 탈출하는데,1
코스메르나 출시앞두고 개미,1
출시앞두고 개미 털거같은데,1
누가 대통령 되면,1
올해 한번 작년만큼,1
한번 작년만큼 적자면,1
작년만큼 적자면 자본잠식이다,1
당국 영남대병원 코로나19,1
영남대병원 코로나19 검사,1
코로나19 검사 신뢰도,1
검사 신뢰도 높다,1
신뢰도 높다 검사재개,1
형들 2705팔 형업써,1
고영주를 방통위원장으로 임명하면,1
방통위원장으로 임명하면 어떤현상이,1
임명하면 어떤현상이 나올까,1
어떤현상이 나올까 생각만해도,1
나올까 생각만해도 웃긴다,1
코스메르나 일반화장품 출시,1
일반화장품 출시 안할것,1
출시 안할것 같은데요,1
메디포스트 상황 정리한,1
상황 정리한 기사,1
28 7층 사람있어요,1
7층 사람있어요 구조대,1
사람있어요 구조대 언제오죠,1
위메이드 본사 ir담당자와,1
본사 ir담당자와 연락후,1
ir담당자와 연락후 얻은,1
연락후 얻은 답변,1
이뮤노 에프터마켓 회복한거,1
에프터마켓 회복한거 보고,1
파주 민통선 야생멧돼지,1
민통선 야생멧돼지 폐사체,1
야생멧돼지 폐사체 7마리,1
폐사체 7마리 아프리카돼지열병,1
7마리 아프리카돼지열병 바이러스,1
아프리카돼지열병 바이러스 검출,1
젤렌스키 내주 10가지,1
내주 10가지 복원,1
10가지 복원 계획,1
복원 계획 발표,1
안티들아 니들은 눈이,1
니들은 눈이 없냐,1
조선내화가 수주했는데 이건,1
어제께 내가 차트상,1
내가 차트상 오후에,1
차트상 오후에 오른다고,1
최근의 증권사 23년,1
증권사 23년 적자,1
23년 적자 리포트를,1
적자 리포트를 보면서,1
리포트를 보면서 정부가,1
보면서 정부가 전기요금을,1
정부가 전기요금을 제대로,1
전기요금을 제대로 인상에,1
제대로 인상에 의문,1
이브이 이아이디 이트론,1
경북에서만 20명 죽는,1
20명 죽는 국가적,1
죽는 국가적 재난에,1
국가적 재난에 머하냐,1
8천원 마빡에 새겨라,1
sk에코 재건 초청받는데,1
여기 대부순 물려,1
대부순 물려 낚시하는거들이에요믿지마요,1
이거 박셀바이오 소식때문에,1
시외 떡락 5프로,1
떡락 5프로 아이고,1
5프로 아이고 배야,1
금년도 방산주 초급등,1
방산주 초급등 사유,1
초급등 사유 발생,1
더살분들 사세요 순식간에갑니다,1
보호예수물량 10 681,1
10 681 994,1
1035에 이천 사백주,1
