ngram,count_all,count_high,share_all,share_high,lift_high_vs_all
회사로,4,4,1.1786128904891832e-05,0.00011460004584001834,9.723298189319276
고대,4,4,1.1786128904891832e-05,0.00011460004584001834,9.723298189319276
최고수혜,4,4,1.1786128904891832e-05,0.00011460004584001834,9.723298189319276
실리네,4,4,1.1786128904891832e-05,0.00011460004584001834,9.723298189319276
주인된,4,4,1.1786128904891832e-05,0.00011460004584001834,9.723298189319276
한미협상,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
1억이상,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
디딤돌,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
메세지,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
안산병원,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
염승환,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
이사님이,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
엔터주는,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
없대요,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
지극히,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
정신건강의학과,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
000일,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
시작가,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
아니구,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
g20서,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
석탄발전,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
확인해라,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
신종코로나,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
나오는군요,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
정말정말,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
말까,3,3,8.839596678668874e-06,8.595003438001376e-05,9.723298189319276
좃됐네요,11,11,3.241185448845254e-05,0.0003151501260600504,9.723298189319275
간호사,5,5,1.4732661131114792e-05,0.00014325005730002292,9.723298189319275
김총리,7,6,2.0625725583560706e-05,0.00017190006876002752,8.334255590845094
사노맹,7,6,2.0625725583560706e-05,0.00017190006876002752,8.334255590845094
1000일,6,5,1.7679193357337748e-05,0.00014325005730002292,8.102748491099398
보십니까,6,5,1.7679193357337748e-05,0.00014325005730002292,8.102748491099398
브리핑,6,5,1.7679193357337748e-05,0.00014325005730002292,8.102748491099398
영국임상,6,5,1.7679193357337748e-05,0.00014325005730002292,8.102748491099398
기사입니다,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
보도내용,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
치명적인,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
질본,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
문대통령은,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
연임되어야한다,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
질문드립니다,5,4,1.4732661131114792e-05,0.00011460004584001834,7.778638551455421
원재료,8,6,2.3572257809783664e-05,0.00017190006876002752,7.292473641989457
설명해줄께,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
몇프로,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
의사파업,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
우한폐렴보다,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
쌍방울은,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
mmv,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
주가조작에,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
dx,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
임상은,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
주주명부,4,3,1.1786128904891832e-05,8.595003438001376e-05,7.292473641989457
